,Location,Vehicle_Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Company,Fuel_Consumption(kmpl),Engine(CC),Power(bhp),Price
37,Delhi,3,52000,Petrol,Manual,First,5.0,MAHINDRA,18.15,1198.0,82.0,4.85
38,Pune,7,85000,Diesel,Automatic,First,5.0,MERCEDES-BENZ,11.74,2987.0,254.8,28.0
39,Chennai,7,62000,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,5.0
40,Delhi,12,90000,Petrol,Manual,Second,5.0,MARUTI,19.7,796.0,46.3,1.25
41,Kochi,6,19698,Petrol,Manual,First,4.0,TATA,25.4,624.0,37.5,1.53
42,Coimbatore,3,22033,Diesel,Manual,First,6.0,MAHINDRA,25.32,1198.0,77.0,5.58
43,Kochi,6,35487,Petrol,Manual,First,5.0,HYUNDAI,18.5,1197.0,82.9,4.74
44,Bangalore,6,46374,Petrol,Automatic,First,5.0,HYUNDAI,14.62,1999.0,149.92,8.85
45,Mumbai,4,52001,Petrol,Automatic,First,5.0,TOYOTA,14.28,1798.0,138.03,10.11
46,Ahmedabad,12,58005,Diesel,Manual,Second,5.0,HYUNDAI,14.9,1991.0,112.2,4.25
47,Bangalore,8,70704,Petrol,Manual,First,7.0,TOYOTA,11.25,2694.0,163.7,10.95
48,Jaipur,6,75000,Diesel,Manual,First,5.0,HYUNDAI,24.4,1120.0,71.0,3.85
49,Jaipur,8,75800,Diesel,Manual,Second,6.0,MAHINDRA,16.55,2498.0,105.0,5.5
50,Kochi,5,13648,Diesel,Automatic,First,5.0,AUDI,17.11,1968.0,174.33,21.43
51,Delhi,6,52000,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,4.25
52,Kolkata,6,53000,Diesel,Manual,First,5.0,MARUTI,17.8,1248.0,75.0,3.3
53,Delhi,7,65650,Diesel,Manual,First,5.0,MARUTI,28.4,1248.0,74.0,3.85
54,Chennai,5,54000,Petrol,Manual,Third,5.0,HYUNDAI,18.9,1197.0,82.0,3.6
55,Kolkata,5,39000,Petrol,Manual,First,5.0,VOLKSWAGEN,15.04,1598.0,103.2,3.99
56,Kochi,3,16542,Petrol,Manual,First,5.0,RENAULT,25.17,799.0,53.3,3.3
57,Kolkata,10,32000,Petrol,Manual,First,5.0,HYUNDAI,20.36,1197.0,78.9,2.07
58,Hyderabad,10,121812,Diesel,Automatic,First,5.0,NISSAN,13.29,1995.0,147.6,7.75
59,Hyderabad,10,39300,Petrol,Manual,First,5.0,MARUTI,18.2,998.0,67.1,2.25
60,Mumbai,3,22000,Diesel,Manual,First,8.0,TOYOTA,13.68,2393.0,147.8,16.5
61,Bangalore,10,72000,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.0,2.75
62,Delhi,5,58000,Petrol,Automatic,First,5.0,MERCEDES-BENZ,11.74,1796.0,186.0,26.7
63,Pune,9,65000,Diesel,Manual,Second,5.0,MERCEDES-BENZ,15.8,2148.0,170.0,10.0
64,Chennai,4,178000,Diesel,Manual,First,5.0,TATA,25.0,1396.0,69.0,2.5
65,Jaipur,8,65664,Diesel,Automatic,First,5.0,AUDI,16.55,1968.0,140.0,13.5
66,Mumbai,13,63000,Petrol,Automatic,Second,5.0,HONDA,16.4,1497.0,78.0,1.85
67,Coimbatore,1,15369,Diesel,Automatic,First,5.0,MERCEDES-BENZ,0.0,1950.0,194.0,35.67
68,Pune,4,63000,Diesel,Manual,First,7.0,MARUTI,24.52,1248.0,88.5,8.15
69,Mumbai,2,13000,Diesel,Manual,First,5.0,HYUNDAI,22.1,1396.0,88.7,10.5
70,Mumbai,12,73000,Petrol,Automatic,First,5.0,PORSCHE,8.5,4806.0,500.0,14.5
71,Mumbai,5,55729,Diesel,Manual,First,7.0,MAHINDRA,15.1,2179.0,140.0,9.65
72,Kochi,8,45178,Petrol,Automatic,First,5.0,HYUNDAI,16.95,1197.0,78.9,3.48
73,Kochi,5,56066,Diesel,Manual,First,5.0,NISSAN,19.64,1461.0,108.5,6.92
74,Coimbatore,4,37300,Petrol,Automatic,Second,5.0,HONDA,16.5,1198.0,86.8,6.46
75,Delhi,6,56000,Diesel,Automatic,Second,5.0,AUDI,18.53,1968.0,187.74,29.5
76,Jaipur,12,111111,Diesel,Manual,First,5.0,FORD,17.8,1399.0,0.0,2.0
77,Chennai,14,230000,Petrol,Manual,Third,8.0,TOYOTA,12.4,1998.0,132.0,4.5
78,Hyderabad,8,104000,Diesel,Manual,First,7.0,TOYOTA,12.8,2494.0,102.0,11.75
79,Hyderabad,15,87591,Petrol,Manual,First,5.0,HYUNDAI,0.0,1086.0,0.0,1.3
80,Jaipur,8,95100,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,3.75
81,Pune,3,70000,Petrol,Manual,First,5.0,TATA,17.57,1193.0,88.7,4.5
82,Kochi,4,54944,Petrol,Manual,First,5.0,HONDA,18.0,1198.0,86.7,4.82
83,Hyderabad,8,70337,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.0,2.8
84,Jaipur,7,99638,Diesel,Manual,First,5.0,MARUTI,23.2,1248.0,73.94,3.11
85,Delhi,11,52000,Petrol,Manual,First,5.0,HONDA,17.8,1497.0,117.3,3.25
86,Delhi,9,75000,Diesel,Automatic,Second,5.0,BMW,16.73,1995.0,218.0,13.9
87,Pune,11,95980,Petrol,Manual,First,5.0,HYUNDAI,20.36,1197.0,78.9,2.25
88,Bangalore,4,16000,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,5.75
89,Hyderabad,13,73745,Petrol,Manual,First,5.0,HYUNDAI,17.0,1086.0,0.0,2.1
90,Mumbai,4,18949,Petrol,Manual,First,5.0,HONDA,17.8,1198.0,86.7,5.0
91,Delhi,6,107000,Diesel,Manual,First,7.0,TOYOTA,13.0,2982.0,168.5,16.5
92,Coimbatore,2,48367,Diesel,Automatic,First,5.0,AUDI,17.68,1968.0,174.33,39.58
93,Delhi,7,57000,Diesel,Manual,First,5.0,FORD,22.7,1498.0,89.84,5.5
94,Delhi,6,58000,Diesel,Manual,First,7.0,MAHINDRA,15.1,2179.0,140.0,8.1
95,Kolkata,5,30000,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,3.5
96,Kolkata,7,34212,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,2.79
97,Ahmedabad,10,70002,Diesel,Manual,First,5.0,HYUNDAI,16.2,1493.0,110.0,3.45
98,Bangalore,4,62000,Petrol,Manual,First,5.0,MARUTI,18.9,998.0,67.1,4.45
99,Delhi,10,62001,Petrol,Manual,First,5.0,VOLKSWAGEN,15.26,1598.0,103.5,2.65
100,Pune,9,78958,Diesel,Manual,Second,5.0,HYUNDAI,23.0,1396.0,90.0,3.8
101,Mumbai,6,30180,Petrol,Manual,First,5.0,HYUNDAI,18.5,1197.0,82.85,4.65
102,Pune,3,32851,Petrol,Manual,First,7.0,OTHERS,19.83,1198.0,67.0,3.95
103,Kolkata,10,30000,Diesel,Automatic,First,5.0,AUDI,14.94,2967.0,241.4,9.8
104,Pune,11,66000,Petrol,Manual,Second,5.0,HYUNDAI,17.0,1197.0,80.0,2.7
105,Coimbatore,10,93850,Petrol,Manual,First,5.0,MARUTI,14.0,796.0,35.0,2.41
106,Ahmedabad,6,53000,Petrol,Manual,First,5.0,TOYOTA,17.71,1197.0,78.9,3.9
107,Hyderabad,9,78000,Diesel,Automatic,Second,5.0,JAGUAR,14.74,2993.0,270.9,24.0
108,Delhi,8,65000,Diesel,Manual,Second,7.0,MAHINDRA,16.0,2179.0,140.0,5.75
109,Kolkata,6,40000,Diesel,Automatic,First,5.0,HYUNDAI,22.32,1582.0,126.32,5.25
110,Mumbai,3,30000,Diesel,Automatic,First,7.0,TOYOTA,11.36,2755.0,171.5,19.25
111,Coimbatore,3,38053,Petrol,Manual,First,5.0,MARUTI,15.1,1196.0,73.0,3.91
112,Bangalore,6,25500,Petrol,Manual,First,4.0,TATA,25.4,624.0,37.5,2.15
113,Mumbai,5,56087,Diesel,Automatic,First,5.0,BMW,22.69,1995.0,190.0,20.75
114,Delhi,10,71088,Petrol,Manual,First,5.0,HONDA,13.5,1799.0,130.0,3.35
115,Ahmedabad,6,55000,Diesel,Manual,First,7.0,TOYOTA,12.99,2494.0,100.6,11.11
116,Bangalore,6,32700,Diesel,Automatic,First,5.0,VOLVO,23.3,1984.0,150.0,20.0
117,Coimbatore,4,39882,Petrol,Automatic,First,5.0,NISSAN,19.15,1198.0,75.94,6.55
118,Mumbai,11,128000,Petrol,Automatic,First,5.0,BMW,10.8,2497.0,215.0,7.0
119,Mumbai,4,55000,Diesel,Manual,First,5.0,MARUTI,24.3,1248.0,88.5,7.5
120,Mumbai,15,102000,Petrol,Manual,Second,5.0,HYUNDAI,17.0,1086.0,0.0,0.85
121,Pune,6,53753,Diesel,Automatic,Second,5.0,MERCEDES-BENZ,15.0,2143.0,107.3,16.75
122,Kolkata,2,10250,Diesel,Manual,First,5.0,HYUNDAI,22.0,1582.0,126.2,10.95
123,Pune,9,43874,Petrol,Manual,First,5.0,MARUTI,18.9,998.0,67.1,2.45
124,Coimbatore,3,32684,Petrol,Automatic,First,4.0,TATA,21.9,624.0,37.48,3.23
125,Kolkata,6,42000,Diesel,Manual,First,8.0,MAHINDRA,12.05,2179.0,120.0,7.75
126,Kolkata,11,28352,Petrol,Automatic,First,5.0,MERCEDES-BENZ,11.7,1796.0,178.0,9.35
127,Pune,7,89900,Clean_Fuel,Manual,First,5.0,MARUTI,26.6,998.0,58.16,3.25
128,Bangalore,13,47700,Petrol,Manual,Second,5.0,HONDA,10.8,2354.0,152.0,5.25
129,Pune,5,55000,Diesel,Automatic,First,5.0,VOLKSWAGEN,21.21,1498.0,103.2,7.25
130,Kochi,3,44285,Petrol,Manual,First,5.0,MARUTI,20.73,1373.0,91.1,7.47
131,Jaipur,4,54000,Diesel,Automatic,First,7.0,MAHINDRA,16.0,2179.0,140.0,13.25
132,Coimbatore,4,30232,Petrol,Manual,First,5.0,MARUTI,21.1,1197.0,85.8,5.81
133,Hyderabad,6,88500,Petrol,Manual,First,5.0,MARUTI,24.07,998.0,67.1,2.6
134,Kolkata,3,13372,Petrol,Automatic,First,2.0,MERCEDES-BENZ,19.0,2996.0,362.07,54.0
135,Kochi,1,12645,Petrol,Automatic,First,5.0,HYUNDAI,17.0,1591.0,121.3,11.5
136,Chennai,10,94385,Petrol,Manual,Second,5.0,MARUTI,19.7,796.0,46.3,1.6
137,Coimbatore,5,31821,Diesel,Automatic,First,5.0,BMW,20.58,1995.0,143.0,17.22
138,Mumbai,5,12000,Petrol,Automatic,First,5.0,HONDA,19.0,1199.0,88.7,6.0
139,Delhi,8,88578,Petrol,Manual,First,5.0,HONDA,13.5,1799.0,130.0,3.95
140,Kochi,6,44965,Diesel,Automatic,First,5.0,MERCEDES-BENZ,19.27,2143.0,170.0,17.95
141,Kolkata,6,45044,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,3.7
142,Kochi,4,34204,Petrol,Manual,First,5.0,MARUTI,22.0,1197.0,81.8,5.43
143,Kochi,12,80759,Petrol,Manual,Third,5.0,HYUNDAI,17.0,1086.0,0.0,1.67
144,Coimbatore,8,91235,Diesel,Manual,First,7.0,TOYOTA,11.5,2982.0,171.0,13.49
145,Pune,6,38800,Petrol,Manual,First,5.0,CHEVROLET,18.6,1199.0,76.8,2.85
146,Chennai,7,83000,Diesel,Manual,First,5.0,SKODA,21.14,1498.0,103.52,4.75
147,Kochi,2,41283,Petrol,Manual,First,5.0,MARUTI,20.73,1373.0,91.1,9.9
148,Mumbai,7,23000,Petrol,Automatic,First,4.0,AUDI,11.05,2894.0,444.0,37.0
149,Mumbai,6,48000,Diesel,Automatic,First,5.0,BMW,21.76,1995.0,190.0,26.5
150,Coimbatore,5,48214,Diesel,Automatic,First,5.0,AUDI,17.11,1968.0,174.33,23.32
151,Chennai,4,35000,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,6.25
152,Kolkata,10,35277,Petrol,Automatic,First,5.0,MERCEDES-BENZ,7.81,5461.0,362.9,30.0
153,Coimbatore,4,54620,Diesel,Automatic,First,5.0,SKODA,21.66,1498.0,103.52,9.86
154,Pune,8,136997,Diesel,Automatic,First,5.0,SKODA,17.2,1968.0,138.1,8.5
155,Kochi,1,14322,Petrol,Manual,First,5.0,HYUNDAI,21.1,814.0,55.2,4.23
156,Jaipur,8,65634,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,3.5
157,Kolkata,4,6000,Petrol,Manual,First,5.0,OTHERS,20.63,1198.0,67.06,2.5
158,Kolkata,7,33280,Petrol,Manual,First,5.0,HONDA,19.4,1198.0,86.8,2.39
159,Delhi,7,29000,Petrol,Automatic,First,5.0,MERCEDES-BENZ,14.8,1595.0,120.7,11.25
160,Kochi,5,42831,Diesel,Manual,First,5.0,HONDA,26.0,1498.0,98.6,7.11
161,Ahmedabad,4,90000,Diesel,Manual,First,7.0,TOYOTA,12.99,2494.0,100.6,10.9
162,Ahmedabad,3,24005,Petrol,Manual,First,5.0,MARUTI,20.4,1197.0,81.8,6.2
163,Mumbai,8,32792,Diesel,Manual,First,7.0,MAHINDRA,15.1,2179.0,140.0,7.9
164,Kochi,6,147898,Diesel,Manual,First,5.0,FORD,22.7,1498.0,89.84,4.42
165,Mumbai,8,131765,Diesel,Manual,First,7.0,TOYOTA,13.0,2982.0,168.5,13.5
166,Chennai,7,65000,Diesel,Automatic,First,5.0,VOLKSWAGEN,21.5,1498.0,108.5,6.25
167,Jaipur,10,66123,Diesel,Manual,Second,5.0,FORD,20.0,1399.0,68.0,2.1
168,Mumbai,5,41000,Diesel,Automatic,First,5.0,BMW,15.3,2993.0,258.0,45.0
169,Coimbatore,3,23550,Diesel,Automatic,First,5.0,MERCEDES-BENZ,19.27,2143.0,167.62,33.66
170,Bangalore,8,45000,Petrol,Manual,Second,5.0,HONDA,19.4,1198.0,86.8,3.65
171,Delhi,7,60000,Petrol,Manual,First,5.0,HYUNDAI,20.36,1197.0,78.9,2.75
172,Bangalore,4,44414,Diesel,Automatic,First,5.0,MERCEDES-BENZ,17.9,2143.0,170.0,42.5
173,Kolkata,1,1000,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,81.86,6.5
174,Mumbai,8,62500,Diesel,Automatic,Second,5.0,AUDI,17.68,1968.0,174.33,19.0
175,Mumbai,7,21000,Petrol,Automatic,Second,5.0,VOLKSWAGEN,14.4,1598.0,103.6,4.45
176,Jaipur,3,8525,Diesel,Automatic,Second,5.0,MINI,16.6,1998.0,112.0,23.0
177,Bangalore,6,29000,Diesel,Manual,First,5.0,HYUNDAI,22.54,1396.0,88.73,8.35
178,Mumbai,6,40000,Diesel,Automatic,First,5.0,AUDI,17.68,1968.0,174.33,22.95
179,Jaipur,8,88000,Diesel,Manual,First,5.0,CHEVROLET,25.44,936.0,57.6,1.5
180,Kochi,8,53537,Petrol,Automatic,First,5.0,SKODA,13.7,1798.0,157.75,6.89
181,Chennai,14,216000,Diesel,Manual,Second,5.0,FORD,17.8,1399.0,68.0,1.45
182,Hyderabad,6,51000,Diesel,Automatic,First,5.0,BMW,22.48,1995.0,190.0,33.5
183,Jaipur,13,118500,Petrol,Manual,First,5.0,CHEVROLET,12.9,1598.0,102.5,1.25
184,Hyderabad,8,63000,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,4.2
185,Mumbai,5,25000,Diesel,Manual,First,8.0,RENAULT,19.98,1461.0,108.5,6.75
186,Bangalore,6,37382,Diesel,Automatic,First,5.0,MERCEDES-BENZ,13.0,2143.0,201.1,32.0
187,Kochi,3,24773,Petrol,Manual,First,5.0,MARUTI,21.4,1197.0,83.1,7.5
188,Delhi,8,62000,Diesel,Manual,First,5.0,HYUNDAI,22.32,1582.0,126.32,4.6
189,Kochi,3,52340,Petrol,Manual,First,5.0,HYUNDAI,19.81,1086.0,68.05,4.04
190,Kochi,4,56739,Diesel,Manual,First,7.0,MAHINDRA,15.4,1997.0,120.0,10.31
191,Coimbatore,2,36091,Diesel,Automatic,First,5.0,LAND,12.7,2179.0,187.7,55.76
192,Chennai,10,120000,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.0,2.6
193,Mumbai,4,33000,Diesel,Manual,First,7.0,MARUTI,25.47,1248.0,88.5,8.5
194,Ahmedabad,13,60006,Petrol,Manual,First,0.0,HONDA,0.0,0.0,0.0,2.95
195,Kolkata,6,52000,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,3.5
196,Jaipur,5,43571,Petrol,Manual,First,5.0,HYUNDAI,20.36,1197.0,78.9,3.55
197,Kolkata,7,50000,Diesel,Manual,First,5.0,HONDA,25.8,1498.0,98.6,3.25
198,Hyderabad,12,113000,Diesel,Manual,First,5.0,SKODA,17.5,1896.0,106.0,4.5
199,Delhi,6,90000,Diesel,Manual,First,5.0,RENAULT,19.87,1461.0,83.8,5.35
200,Chennai,3,29000,Diesel,Manual,Second,7.0,MAHINDRA,17.45,1493.0,100.0,6.5
201,Mumbai,4,20000,Diesel,Manual,First,5.0,MARUTI,24.3,1248.0,88.5,9.0
202,Kochi,4,61012,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,6.0
203,Jaipur,11,87459,Petrol,Manual,First,5.0,SKODA,14.7,1390.0,85.0,2.75
204,Pune,10,70500,Petrol,Manual,First,5.0,TATA,15.64,1193.0,64.1,1.5
205,Delhi,5,64103,Diesel,Automatic,First,5.0,AUDI,15.73,1968.0,174.33,19.9
206,Mumbai,6,76000,Petrol,Automatic,First,5.0,SKODA,14.7,1798.0,177.5,10.0
207,Delhi,6,104000,Diesel,Manual,First,5.0,TOYOTA,23.59,1364.0,67.06,3.0
208,Kolkata,10,42001,Petrol,Manual,First,0.0,MARUTI,16.1,0.0,0.0,2.11
209,Kochi,6,37245,Petrol,Automatic,First,5.0,MERCEDES-BENZ,14.8,1595.0,120.7,11.96
210,Kolkata,7,45000,Diesel,Manual,First,5.0,HONDA,27.4,1498.0,98.6,3.25
211,Jaipur,8,117837,Diesel,Manual,Second,5.0,HYUNDAI,22.32,1582.0,126.32,4.75
212,Mumbai,6,30000,Diesel,Manual,First,5.0,RENAULT,20.46,1461.0,83.8,5.95
213,Delhi,5,27057,Petrol,Manual,Second,5.0,HYUNDAI,15.29,1591.0,121.3,8.15
214,Mumbai,4,8500,Petrol,Automatic,First,5.0,MARUTI,20.51,998.0,67.0,4.22
215,Kolkata,10,30500,Petrol,Automatic,First,5.0,MERCEDES-BENZ,11.74,1796.0,186.0,10.5
216,Delhi,8,56000,Diesel,Automatic,First,5.0,AUDI,11.8,2967.0,246.7,45.0
217,Pune,8,44000,Petrol,Manual,Second,5.0,HYUNDAI,19.81,1086.0,68.05,2.9
218,Mumbai,3,10500,Petrol,Automatic,First,5.0,SKODA,14.3,1598.0,103.52,8.9
219,Hyderabad,3,26000,Petrol,Automatic,First,5.0,SKODA,14.67,1798.0,177.46,26.0
220,Coimbatore,2,25166,Petrol,Manual,First,5.0,HYUNDAI,17.19,1197.0,81.86,8.22
221,Kolkata,6,64000,Diesel,Manual,Second,5.0,HONDA,25.8,1498.0,98.6,3.5
222,Chennai,15,61000,Petrol,Manual,Second,5.0,MARUTI,18.9,998.0,67.1,1.25
223,Hyderabad,7,107000,Diesel,Manual,First,5.0,MAHINDRA,21.03,1461.0,65.0,3.7
224,Coimbatore,2,29161,Diesel,Automatic,First,5.0,MERCEDES-BENZ,19.27,2143.0,167.62,39.41
225,Kolkata,7,32000,Petrol,Manual,First,5.0,MARUTI,22.5,998.0,67.04,2.65
226,Coimbatore,5,46173,Diesel,Manual,Second,5.0,NISSAN,19.01,1461.0,108.5,8.92
227,Delhi,7,47000,Diesel,Manual,First,5.0,MARUTI,17.8,1248.0,0.0,4.1
228,Kochi,3,26327,Petrol,Automatic,First,4.0,MINI,16.82,1998.0,189.08,35.67
229,Bangalore,5,70436,Diesel,Manual,First,0.0,FORD,0.0,1498.0,99.0,3.6
230,Jaipur,13,200000,Diesel,Manual,Second,5.0,TATA,17.2,1396.0,53.5,0.85
231,Kochi,4,60813,Petrol,Manual,Second,5.0,CHEVROLET,18.6,1199.0,76.8,3.32
232,Mumbai,8,45000,Diesel,Manual,First,5.0,VOLKSWAGEN,22.07,1199.0,73.9,3.6
233,Hyderabad,4,64000,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,6.8
234,Kolkata,8,41284,Diesel,Manual,First,5.0,FORD,20.0,1399.0,68.05,2.5
235,Kochi,1,14165,Diesel,Automatic,First,7.0,TOYOTA,11.36,2755.0,171.5,19.64
236,Mumbai,9,67000,Diesel,Automatic,Second,7.0,HYUNDAI,11.72,2199.0,194.3,7.0
237,Kolkata,9,32572,Petrol,Manual,First,5.0,HONDA,17.4,1497.0,117.3,3.87
238,Kochi,2,14960,Petrol,Manual,First,5.0,HYUNDAI,18.6,1197.0,81.83,6.27
239,Kochi,5,55980,Diesel,Automatic,First,5.0,MERCEDES-BENZ,19.27,2143.0,167.62,18.12
240,Mumbai,7,74000,Diesel,Manual,First,5.0,CHEVROLET,25.44,936.0,57.6,2.65
241,Kochi,5,56847,Diesel,Manual,First,5.0,HYUNDAI,22.54,1396.0,88.73,7.2
242,Coimbatore,5,121374,Diesel,Manual,First,7.0,TOYOTA,12.99,2494.0,100.6,14.3
243,Chennai,7,52000,Diesel,Manual,First,7.0,MARUTI,20.77,1248.0,88.76,6.9
244,Mumbai,6,118000,Diesel,Manual,First,7.0,TOYOTA,12.8,2494.0,102.0,10.75
245,Mumbai,13,72000,Petrol,Manual,Third,5.0,HYUNDAI,17.0,1086.0,0.0,0.95
246,Kochi,4,33915,Petrol,Manual,First,5.0,HONDA,17.8,1497.0,117.3,8.09
247,Ahmedabad,6,82002,Diesel,Automatic,First,5.0,BMW,17.05,1995.0,184.0,18.5
248,Mumbai,3,33000,Diesel,Manual,First,5.0,HYUNDAI,24.0,1120.0,70.0,4.75
249,Chennai,4,34000,Diesel,Manual,First,5.0,MARUTI,28.09,1248.0,88.5,8.45
250,Kolkata,8,55000,Diesel,Manual,First,5.0,SKODA,20.5,1598.0,103.6,3.5
251,Kochi,14,160538,Diesel,Manual,First,5.0,HYUNDAI,13.1,1493.0,82.0,1.8
252,Jaipur,6,60000,Diesel,Manual,Second,5.0,VOLKSWAGEN,19.91,1498.0,103.6,3.7
253,Coimbatore,3,49575,Petrol,Manual,First,5.0,HONDA,18.7,1199.0,88.7,7.17
254,Jaipur,10,83000,Petrol,Manual,First,5.0,HYUNDAI,19.81,1086.0,68.05,1.75
255,Kochi,2,51346,Diesel,Automatic,First,5.0,HYUNDAI,16.38,1995.0,183.0,21.99
256,Pune,3,43000,Diesel,Manual,First,7.0,TOYOTA,13.68,2393.0,147.8,18.65
257,Jaipur,9,35000,Petrol,Manual,Third,5.0,MARUTI,19.7,796.0,35.0,1.85
258,Coimbatore,3,27872,Petrol,Manual,Second,5.0,MARUTI,20.4,1197.0,81.8,5.95
259,Mumbai,6,16514,Petrol,Manual,First,5.0,HYUNDAI,18.9,1197.0,82.0,3.75
260,Pune,8,120000,Diesel,Manual,First,5.0,MARUTI,22.9,1248.0,74.0,3.75
261,Hyderabad,12,143275,Diesel,Manual,First,5.0,HYUNDAI,22.0,1582.0,126.2,2.6
262,Hyderabad,14,99000,Petrol,Manual,First,5.0,HYUNDAI,0.0,1086.0,0.0,1.75
263,Mumbai,10,52000,Petrol,Manual,First,5.0,HYUNDAI,17.0,1197.0,80.0,2.8
264,Coimbatore,3,29819,Diesel,Automatic,First,5.0,MERCEDES-BENZ,11.57,2987.0,254.79,61.29
265,Bangalore,6,57000,Diesel,Manual,Second,5.0,MERCEDES-BENZ,15.8,2148.0,170.0,18.0
